關鍵字,回應
飛漩潛水,"介紹：\n
PADI系統 ( Professional Association of Diving Instructors| )\n
提供初階開放水域潛水員、進階開放水域潛水員、救援潛水、潛水長、體驗潛水、潛水旅遊、潛水考照、潛水複習、潛水周邊商品、潛水裝備維修等服務。"
日榮潛泳用品有限公司,"介紹：\n
提供潛水裝備銷售服務等服務。"
逐海俱樂部潛水訓練中心,"介紹：\n
生在海平面上,進到海平面下。逐海俱樂部帶你進入無重力世界。\n
提供專業的潛水課程、潛水用品裝備等服務。"
三來潛水,"介紹：\n
本公司在台灣已經成立超過30年，提供各式水上用品、進口、製造、批發、販售、出租、訂製防寒衣等服務。"
gogoscuba 台灣最大潛水裝備商城,"介紹：\n
gogoscuba 是台灣最大潛水裝備商城，秉持著專業、誠信、永續的理念，提供潛水人及教練一站式採購服務。"
藍星海洋潛水俱樂部,"介紹：\n
潛進藍色星球的內太空，俯瞰海底星空，感受水的溫度，聆聽海洋聲音以及自己的心跳聲，返回最初生命的開始。"
Fun Divers Taiwan 瘋潛水,"介紹：\n
台北第一間外國人經營的潛水店！\n
在 Fun Divers Tw，我們的宗旨是把海底世界介紹給各個冒險家及大自然愛好者！我們提供PADI水肺課程，並有專業指導員一步一步帶您成為專業潛水員！"
DiveXTrim潛水部落,"介紹：\n
DiveXTrim潛水部落是一群熱愛海洋的夥伴，著重於提升潛水技巧及進階技術潛水。提供專業的潛水旅遊、販售潛水相關裝備等服務。"
浮兒樂 Float Club 水上用品店,"介紹：\n
契機來自於美國生活的那幾年，異國的文化總會讓人感到新鮮與特別，對於台灣種種保守思維與有限的資源，學習上果然仍不及強力的美國，但台灣的人情味、親民的醫療費用…等等仍是目前外國人看來羨慕的數一數二之特色，國外的游泳體制，從母親懷孕開始，在泳池內的水中運動、幼兒充氣脖圈（浮棉浮力衣），再來到浮棉手臂圈，讓孩童從自由式的接受玩水。人家都說，學習如果能從興趣開始，肯定再苦再累都不亦樂乎，所以！從小的不怕水才是幼兒學游泳的第一步關鍵，接下來游泳的速度絕對比同期的同學們快速～最後，在以專業的角度，嚴格的調整泳姿，達到最佳的游泳效果，這是我們最提倡的方法。"
正海人潛水用品企業社,"介紹：\n
用心帶給你最完善的服務！歡迎詢問預購各種品牌潛水用品。歡迎討論阿傑老闆好溝通，我們賣的是口碑是服務，要多優看你的態度！"
Prussian blue 普魯士藍,"介紹：\n
品牌名稱以普魯士藍( Prussian blue）命名，是由一位學設計的自由潛水朋友的構思。會用這個名字源自於普魯士藍是一種深藍色，顏色與潛水員熟悉的大海深藍色非常相似，以及搭配每個潛水員夢寐已求能在大海相遇的藍鯨尾巴作為LOGO的設計，再加上採用工業風格的剛硬線條刻畫出美麗的鯨魚尾巴。"
巡航艦潛水,"介紹：\n
巡航艦潛水訓練中心位於桃園市桃園區。\n
提供休閒潛水各項訓練、潛水旅遊、裝備銷售及租借服務。"
島嶼潛水,"介紹：\n
提供潛水裝備銷售服務、各類潛水課程、潛水旅遊等服務。"
JBC潛水,"介紹：\n
提供潛水裝備銷售服務、各類潛水課程、潛水旅遊等服務。"
基隆潛水器材行,"介紹：\n
查無此資料。"
摸魚去海洋休閒中心,"介紹：\n
提供潛水裝備銷售服務、各類潛水課程、潛水旅遊等服務。"
藍波潛水用品店,"介紹：\n
提供水肺充氣、潛水訓練召生、進階訓練召生、潛水器材選購、船潛、包船、水底工程等服務。"
良友潛水,"介紹：\n
提供潛水裝備銷售服務、各類潛水課程、潛水旅遊等服務。"
國傑工程企業有限公司,"介紹：\n
提供潛水裝備銷售服務等服務。"
東半球潛水企業社,"介紹：\n
提供潛水裝備銷售服務、各類潛水課程、潛水旅遊等服務。"
歐都納戶外用品(宜蘭羅東店),"介紹：\n
全方位的歐都納，與您同行。邀請您走入擁有40多年歷史的歐都納，在戶外休閒旅遊產業中，累積了卓越的經驗與經營能力，開發與代理專業性機能服飾與配件、登山露營器材、休閒旅遊服飾、水上用品、登山健行鞋，以及擁有位於台灣嘉義曾文水庫周邊的歐都納山野渡假村，為全方位戶外休閒活動品牌。"
薛長興公司-三結廠,"介紹：\n
隨著水類活動市場的穩定發展，薛長興亦跨足救生衣、浮水背心、與彈性布料的生產製造。因長期深耕水類運動市場，我們掌握了衣物布料管理海水的關鍵技術，研發產品更成為產業標準。現在更善用此技術進軍陸上機能性運動布料與成衣市場，將管理海水的技術轉為對汗水的管理，配合企業擁有的垂直整合優勢，透過研發、技術、品質及設計能力的持續精進來滿足多元化產品的趨勢，提供國際品牌客戶完整的供應服務。"
國際水上用品,"介紹：\n
國際戶外水上休閒館，專營水上用品/配備等各種商品，台灣工廠製作客製化獨木舟、衝浪/潛水防寒衣衝浪褲零售批發、獨家代理歐美大廠防水防撞箱。"
極酷衝浪俱樂部G-cool Surf Club,"介紹：\n
極酷的大家長由從小就在大海的懷抱裡長大的在地小男孩「阿榮」、小女孩「小榆」倆經營。夫妻倆人同時也是港口社區發展協會的理事，予社區一同為在地創生與社區營造帶動經濟發展扮演領頭羊角色。 因心中擁有著在地人對大海的敬仰，藉由衝浪這個運動提供專業項目、多元服務和教育，讓旅行到這邊的朋友們能體會到在地文化結合衝浪的樂趣。\n
多年專業的經營之下，由年輕學子的廣為推薦，儼然成為衝浪新手的搖籃，孕育了許多人對衝浪的夢想。而專業的衝浪教學，更成就了許許多多在初學過程中第一次站上浪板馳乘下的愉悅經驗及回憶。"
包捷潛水,"介紹：\n
提供潛水裝備銷售服務、各類潛水課程、潛水旅遊等服務。"
和平潛水,"介紹：\n
和平潛水是東台灣最資深專業、規模最大的水上運動休閒公司，舉凡潛水、溯溪、跳海、浮潛、獨木舟、探索教育等活動都有提供服務。"
自然休閒,"介紹：\n
Arena、Mizuno、Speedo、Aropec。\n
專業水著用品代理、專業競賽泳衣、潛水、自潛、開放水域用品。"
水世界運動休閒用品,"介紹：\n
水世界運動休閒用品店創立於1997年，開幕至今25個年頭，專業、親切的服務態度是我們的堅持。"
PADI Diving Center,"介紹：\n
提供專業的潛水證照、浮潛體驗、國際急救證照、救生班等服務。"
藍海潛水用品社,"介紹：\n
查無此資料。"
歐都納戶外用品(台東店),"介紹：\n
1975年，歐都納的前身「山王工業股份有限公司」在彰化縣埤頭鄉正式成立。在早期台灣戶外活動並不熱門的年代，有著中部「山大王」之稱的程育才創辦人，從年輕時期就熱愛登山、水上等戶外運動，因而成立了山王工業，以生產EVA發泡材為主要業務，並致力開發各式救生衣、衝浪板、浮板及蛙鏡等水上器材，熱銷至全球數百個國家。\n
歐都納有著探險基因、喜歡探索大自然的生命力，「歐都納」對於董事長程鯤而言就是將這份熱愛台灣土地的情誼結合自己的興趣及喜好，化作實際行動的付出，打造出最適合台灣環境也最符合台灣戶外愛好者需求的的專業品牌。"
東河潛水,"介紹：\n
位在台東東河鄉，提供各式潛水相關服務：\n
1.裝備、氣瓶租借。\n
2.裝備檢修。"
