店家名,店家名(英),地區,縣市,地址,緯度,經度,連結,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議
愛上綠島民宿,Love Green,外島/離島地區,台東縣,951台東縣綠島鄉漁港路39號,22.6643869,121.471821,https://lovegreen.okgo.tw/index.html,08:00,23:00,15:00,null,null,10:00,"1.自行開車至富岡漁港停車場。
2.由臺東航空站、火車站出發，可搭乘台灣好行、鼎東客運或計程車去富岡漁港搭船。"
綠島居福潛水,null,外島/離島地區,台東縣,951台東縣綠島鄉78-3號,22.67499387,121.492551,https://www.facebook.com/LyuDaoChuFuDivng/,08:00,18:30,null,null,null,null,台東富岡漁港→搭船→綠島南寮漁港→租車→綠島居福潛水
綠島海猴子潛水,Green Island Sea Monkey Diving,外島/離島地區,台東縣,951台東縣綠島鄉51號,22.67510906,121.4917912,http://seamonkey.okgo.tw/,10:00,22:00,15:00,null,null,10:00,"「台東火車站至富岡漁港」
搭乘計程車-車程約20分鐘
搭乘公車-車程約30-40分鐘
公車站牌位在～出台東火車站
往右手邊走、沿著馬路左轉彎處
「普悠瑪客運-海陸空快線」
「台灣好行-東部海岸線」
搭乘以上兩線至富岡漁港站"
綠島啤 酒魚潛水中心,HEY DIVE Scuba Diving Center,外島/離島地區,台東縣,951台東縣綠島鄉公館99號,22.6739701,121.4926692,https://heydive.mystrikingly.com/,00:00,23:59,null,null,null,null,台東富岡漁港→搭船→綠島南寮漁港→租車→綠島啤 酒魚潛水中心
綠島海韻民宿 |自由潛水 |水肺潛水|,Happy Minimi DiveCenter,外島/離島地區,台東縣,951台東縣綠島鄉210號,22.66997022,121.4682604,http://linmama.okgo.tw/index.html,00:00,23:59,13:00,null,null,10:00,"(1)開車的旅客請至『台東富岡漁港』，富岡漁港內設有免費停車位，若需代訂船票，請於訂房的同時，直接請『海韻民宿』代訂船班。
(2)搭乘火車的遊客請至『台東站』下車，再搭乘計程車或客運於富岡漁港下車，「台灣好行客運」可直達富岡漁港售價處，「鼎東客運」於富岡漁港外下車，再步行10分鐘可達候船室。若需代訂船票，請於訂房的同時，直接請『海韻民宿』代訂船班。"
藍莎潛水中心（PADI五星級教練發展潛水中心）,BLUE SAFARI DIVING CENTER ,外島/離島地區,台東縣,951台東縣綠島鄉72號,22.6749033,121.4917939,http://bluesafari.okgo.tw/,08:00,18:00,null,null,null,null,"【客輪】
(1)開車的旅客請至『台東富岡漁港』搭乘客輪（富岡漁港內設有免費停車位）。
(2)搭乘火車的遊客請至『台東站』下車，再搭乘計程車(20分鐘)或搭乘「鼎東客運 台灣好行」至富岡港口候船室取票。
【飛機】
(1)『台東→綠島』、『綠島→台東』往返的航線，現由德安航空公司經營。"
綠島怪獸潛水,null,外島/離島地區,台東縣,951台東縣綠島鄉溫泉66號,22.64567481,121.4983325,https://www.facebook.com/Greenisland.Monster/?locale=zh_TW,07:00,22:00,null,null,null,null,台東富岡漁港→搭船→綠島南寮漁港→租車→綠島怪獸潛水
一直曬太陽民宿,Sunny Day Hostel,外島/離島地區,台東縣,台東縣綠島鄉公館村65號,22.67501451,121.4922481,https://sunnydayhostel.wixsite.com/sunnyday/,00:00,23:59,14:30,null,null,10:30,"可自行開車至富岡漁港停車場。
若乘大眾交通工具，由臺東航火車站、航空站出發，可搭乘[台灣好行][鼎東客運][計程車]至富岡漁港，計程車一趟約$250～350，上車前務必先詢問價格，下車前索取司機名片，回程時即可電話叫車。
航行時間：臺東富岡漁港←→綠島南寮漁港 50分鐘"
綠島諾亞民宿,Noah B&B ,外島/離島地區,台東縣,台東縣綠島鄉柴口50之6號　,22.67447076,121.4802856,http://noah.okgo.tw/,00:00,23:59,15:00,null,null,10:00,"1.開車的旅客請至『台東富岡漁港』，富岡漁港內設有免費停車位。
2.搭乘火車的遊客請至『台東站』下車，再搭乘計程車或客運於富岡漁港下車，「花蓮客運」可直達候船室，「鼎東客運」於富岡漁港外下車，再步行10分鐘可達候船室。"
好棧 Good Hostel,Good Hostel,外島/離島地區,台東縣,951台東縣綠島鄉漁港136號,22.65591273,121.4750796,https://www.facebook.com/9padi/?locale=zh_TW,00:00,23:59,14:00,18:00,07:00,10:00,台東富岡漁港→搭船→綠島南寮漁港→步行(約3分鐘)/租車→好棧 Good Hostel
綠島緩島旅宿,Slow Island Hostel,外島/離島地區,台東縣,951台東縣綠島鄉南寮九鄰110之1號,22.66605095,121.47043,https://dearbnb.com/zh/bnb/slow-island-hostel/,00:00,23:59,14:00,null,null,10:00,"大眾運輸：
1.從台灣本島至綠島須搭乘飛機或船班
2.旅宿與機場及碼頭距離：
3.綠島機場，距離 0.85 公里；詳細時刻表與票價請至綠島航空站查詢
4.南寮碼頭，距離 0.65 公里；詳細船班資訊請洽旅宿主人
5.當地交通工具可搭乘公車、或租借機車
6.公車：東管處遊客服務中心公車站，距離 0.8 公里；詳細時刻表與票價請至綠島鄉公所查詢
7.旅宿可於交通點接駁，但需事先與旅宿預約，詳情請見訂房說明"
70腳落,Lyudao Accommodation,外島/離島地區,台東縣,台東縣綠島鄉公館村49號,22.67496565,121.4913199,https://70m.ego.tw/,00:00,23:59,15:00,null,null,11:00,"【客輪(搭船)】
1.開車的旅客請至『台東富岡漁港』，富岡漁港內設有免費停車位。
2.搭乘火車的遊客請至『台東站』下車，再搭乘計程車或客運於富岡漁港下車，「花蓮客運」可直達候船室，「鼎東客運」於富岡漁港外下車，再步行10分鐘可達候船室。
【航空(搭飛機)】
1.『台東→綠島』、『綠島→台東』、『台東→蘭嶼』、『蘭嶼→台東』往返的航線，現由德安航空公司經營。"
閱光海背包輕旅,null,外島/離島地區,台東縣,951台東縣綠島鄉南寮143號,22.66819115,121.4684516,https://www.facebook.com/profile.php?id=100063725993568,00:00,23:59,14:00,22:00,null,11:00,台東富岡漁港→搭船→綠島南寮漁港→租車→閱光海背包輕旅
龜灣39號背包客棧 露營,null,外島/離島地區,台東縣,951台東縣綠島鄉南寮村1鄰龜灣39之1號,22.6468628,121.4767791,https://www.facebook.com/393QLucky,null,null,15:00,22:00,null,10:00,台東富岡漁港→搭船→綠島南寮漁港→租車→龜灣39號背包客棧 露營
綠島放個假旅宿 ,Go On Vacation Hostel Green Island,外島/離島地區,台東縣,951台東縣綠島鄉中寮205號,22.67408528,121.4734223,https://www.facebook.com/GOVH.greenisland/,null,null,15:00,null,null,11:00,台東富岡漁港→搭船→綠島南寮漁港→租車→綠島放個假旅宿 
藍海屋潛水渡假村,Orchid Island Blue Ocean House Diving Resorts,外島/離島地區,台東縣,952台東縣蘭嶼鄉1-8號,22.02351199,121.5585921,https://www.boh.com.tw/,07:30,21:00,15:00,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→藍海屋潛水渡假村海洋超市
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第二班逆時針蘭嶼鄉公所(紅頭)→ (9 個停靠站)蘭嶼鄉公所(紅頭)
→ 步行→ 藍海屋潛水渡假村"
小豆丁民宿,null,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島235-1號,22.07834039,121.5252383,https://www.facebook.com/lanyuding/?locale=zh_TW,null,null,14:00,null,null,10:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→小豆丁民宿
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第二班逆時針蘭嶼鄉公所(紅頭)→ (5 個停靠站)朗島國宅
→ 步行→ 小豆丁民宿"
飛魚民宿。蘭嶼 Lanyu,Feayu Guest House,外島/離島地區,台東縣,952台東縣蘭嶼鄉部落10鄰101號,22.02722466,121.5422068,https://flyingfish-lanyu.com/,09:00,21:00,15:00,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→飛魚民宿。蘭嶼 Lanyu
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第二班逆時針蘭嶼鄉公所(紅頭)→ (7個停靠站)漁人部落
→ 步行→飛魚民宿。蘭嶼 Lanyu"
Azul Apnea Freediving 朗。自由潛水,Azul Apnea Freediving ,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島村6-1號1樓,22.07919108,121.5291291,https://www.facebook.com/AzulApnea/,null,null,14:00,null,null,10:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→Azul Apnea Freediving 朗。自由潛水
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第三班逆時針蘭嶼鄉公所(紅頭)→ (6個停靠站)朗島部落
→ 步行→Azul Apnea Freediving 朗。自由潛水"
暖暖浮潛,null,外島/離島地區,台東縣,95242台東縣蘭嶼鄉82號,22.03823974,121.5669555,https://www.facebook.com/profile.php?id=100063718363893,08:30,21:30,null,null,null,null,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→暖暖浮潛
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第三班順時針蘭嶼鄉公所(紅頭)→ (13個停靠站)野銀舊部落
→ 步行→暖暖浮潛"
Unlockdive 解鎖自由潛水工作室,UNLOCK DIVE,外島/離島地區,台東縣,952台東縣蘭嶼鄉122號,22.05056966,121.5126536,https://www.facebook.com/unlockdive,09:00,17:00,null,null,null,null,台東富岡漁港→搭船→蘭嶼開元漁港→步行/租車→Unlockdive 蘭嶼解鎖自由潛水工作室
海岸線 Lanyu Coastline, Lanyu Coastline,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島村6鄰235之2號,22.07830805,121.5252279,https://www.facebook.com/LanyuCoastline/,00:00,23:59,null,null,null,null,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→海岸線 Lanyu Coastline
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第三班順時針蘭嶼鄉公所(紅頭)→ (5個停靠站)朗島國宅
→ 步行→海岸線 Lanyu Coastline"
蘭嶼海的窩,Hidingworld,外島/離島地區,台東縣,台東縣蘭嶼鄉197之六號,22.03938483,121.5671146,https://www.hidingworld.com/,null,null,14:00,17:00,,10:00,"大眾運輸：
1.搭船可至台東富岡漁港或是墾丁後壁湖搭乘交通船
2.搭飛機的話就必須至台東機場搭德安航空飛機至蘭嶼機場
只有這三個交通轉乘地點，別無他處，所以不論來自台灣何處都必須先到這三個地點，才有辦法到達蘭嶼"
蘭嶼町Ah度背包客棧,DAD's Backpackers - Orchid Island,外島/離島地區,台東縣,95242台東縣蘭嶼鄉東清村3鄰東清59號 2,22.0575517,121.5643478,https://dadlanyu.com/,12:00,23:59,15:00,18:00,10:00,11:00,如何抵達背包客棧？當您抵達東清部落後，請尋找東清派出所（7-11的下一個巷口），於派出所旁巷子進入部落，遇見第一個巷口左轉，下一個巷口右轉，就會看到我們的招牌囉！
蘭嶼 雅娜背包客棧 , Yana backpacker,外島/離島地區,台東縣,95241台東縣蘭嶼鄉紅頭5鄰135號,22.02579764,121.5545,https://www.facebook.com/profile.php?id=100063903078087,08:00,18:00,15:00,23:00,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼 雅娜背包客棧 
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (8個停靠站)蘭嶼衛生所
→ 步行→蘭嶼 雅娜背包客棧 "
沙卡法艾背包客棧, Lanyu Asakavahey,外島/離島地區,台東縣,台東縣蘭嶼鄉紅頭村紅頭41號,22.02533818,121.5539243,https://155408345076.web.fullinn.tw/,18:00,22:00,15:30,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→沙卡法艾背包客棧
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (8個停靠站)蘭嶼衛生所
→ 步行→沙卡法艾背包客棧"
蘭嶼單藍,Blue Capsule,外島/離島地區,台東縣,952台東縣蘭嶼鄉部落3號2樓,22.02705633,121.5435788,https://www.facebook.com/profile.php?id=100063913097624,09:00,17:00,15:00,20:30,06:00,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼單藍
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (7個停靠站)漁人部落
→ 步行→蘭嶼單藍"
蘭嶼 Mr.FISH HOSTEL 魚先生· 背包旅宿, Mr.FISH HOSTEL,外島/離島地區,台東縣,952台東縣蘭嶼鄉40號,22.02684235,121.5426755,https://www.facebook.com/MR.fish40/,null,null,15:00,null,null,10:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼 Mr.FISH HOSTEL 魚先生· 背包旅宿
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (7個停靠站)漁人部落
→ 步行→蘭嶼 Mr.FISH HOSTEL 魚先生· 背包旅宿"
蘭嶼 蘭晴背包客棧,Lanyu Lanqing Hostel,外島/離島地區,台東縣,952台東縣蘭嶼鄉124號,22.02548744,121.5545605,https://www.facebook.com/profile.php?id=100092981648196,null,null,null,null,null,null,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼 蘭晴背包客棧
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (8個停靠站)蘭嶼衛生所
→ 步行→蘭嶼 蘭晴背包客棧"
蘭嶼 轉角11號民宿,null,外島/離島地區,台東縣,952台東縣蘭嶼鄉村No. 11-1號,22.02714198,121.5433493,https://www.facebook.com/LanyuCorner11/?locale=zh_TW,09:00,22:00,14:00,22:00,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼 轉角11號民宿
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (7個停靠站)漁人部落
→ 步行→蘭嶼 轉角11號民宿"
Rover Hostel,Rover Hostel,外島/離島地區,台東縣,952台東縣蘭嶼鄉村65 號,22.02773827,121.5439218,https://www.facebook.com/lanyurover/,10:30,23:30,14:00,null,null,10:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→Rover Hostel
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (7個停靠站)漁人部落
→ 步行→Rover Hostel"
蘭嶼唯島背包客棧,Lanyu·Onlyisland,外島/離島地區,台東縣,952台東縣蘭嶼鄉部落100號,22.02722353,121.5423242,https://www.facebook.com/profile.php?id=100057284896690,00:00,23:59,14:00,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼唯島背包客棧
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (7個停靠站)漁人部落
→ 步行→蘭嶼唯島背包客棧"
蘭嶼旅人·Rover,Rover Hostel,外島/離島地區,台東縣,95241台東縣蘭嶼鄉村25之1號,22.02646099,121.5498493,https://www.facebook.com/lanyurover/,10:30,23:59,14:00,null,null,10:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼旅人·Rover
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (8個停靠站)蘭嶼衛生所
→ 步行→蘭嶼旅人·Rover"
榕樹下背包客棧,null,外島/離島地區,台東縣,952台東縣蘭嶼鄉椰油村9號,22.04547888,121.5176625,https://travel.lanyu.info/hostel/yayo-tribe/banyan,09:00,22:00,15:00,null,null,11:00,"【1】蘭嶼交通資訊
要前往蘭嶼有航空及海運兩種方式，路徑共有三種路線：
1.搭乘火車至台東火車站後轉乘計程車至「台東富岡漁港」再搭乘往蘭嶼的船班〈北部出發建議〉。
2.搭船從屏東恆春鎮的「後壁湖漁港」，搭「後壁湖漁港」往蘭嶼的船班〈中部南部出發建議〉。
3.搭飛機從「台東機場」到「蘭嶼機場」。
【2】如何到蘭嶼指南
(1)台東富岡蘭嶼
有綠島之星號（253人座）、恆星號（195人座）兩艘船可以選擇，航行時間端視海象狀況，約2小時即可抵達蘭嶼；旺季時部分蘭嶼回程台東的船班則會途經綠島，約多40分鐘航程。
(2)墾丁後壁湖蘭嶼
有金星五號（240人座）、綠島之星三號（295人座）航程約需2小時左右抵達蘭嶼，建議從台灣西部出發的朋友可直接搭火車或高鐵至高雄後，再共乘接駁車（需預約）到墾丁的後壁湖碼頭前往蘭嶼。
墾丁後壁湖的船班每年三月中至九月中旬開航，其他月份東北季風強勁風浪大停航；台東富崗漁港往蘭嶼的船班全年皆能航行，但若人數不足(例如旅遊淡季)，船公司仍會縮減船班，建議大家除了要先事先訂位之外，同時要確認船班是否正常。"
都教練背包客棧,null,外島/離島地區,台東縣,952台東縣蘭嶼鄉村東清137之1號,22.06056104,121.5595655,https://www.facebook.com/profile.php?id=100063931418391,null,null,15:00,null,null,00:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→都教練背包客棧
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第一班順時針農會→ (12個停靠站)東清部落
→ 步行→都教練背包客棧"
蘭嶼看海的日子民宿,Oceaneveryday Hostel,外島/離島地區,台東縣,952台東縣蘭嶼鄉82號,22.0270817,121.5423362,https://www.facebook.com/oceaneveryday/?locale=zh_TW,09:00,21:00,15:00,null,null,11:00,"【台東-蘭嶼 / 後壁湖-蘭嶼 船票訂購資訊】
• 台東-蘭嶼（綠島之星二號客輪）
• 後壁湖-蘭嶼（恆星號客輪） 
• 因蘭嶼目前並無售票窗口，船公司皆會要求一次預訂來回蘭嶼船票，並於出發地統一取票
• 出發前三日始開放購買單程船票或於當日直接至碼頭排隊候補船位
【機票與航班時刻】
德安航空訂票
台東-蘭嶼票價：NTD 1480
蘭嶼-台東票價：NTD 1410（離島免稅）
每次訂位最多四位，電話訂位後需於期限內付款開票 "
Vanwa番哇背包客棧,Vanwa,外島/離島地區,台東縣,952台東縣蘭嶼鄉6 號,22.05759918,121.5653,https://travel.lanyu.info/hostel/iranmilek-tribe/vanwa,00:00,23:59,14:00,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→Vanwa番哇背包客棧
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第一班順時針農會→ (4個停靠站)玉女岩
→ 步行→Vanwa番哇背包客棧"
那天 THat day Hostel, THat day Hostel,外島/離島地區,台東縣,952台東縣蘭嶼鄉4鄰170號,22.05132069,121.5124395,https://www.facebook.com/thatdayhostel/,00:00,23:59,15:00,23:30,null,11:00,台東富岡漁港→搭船→蘭嶼開元漁港→租車→那天 THat day Hostel
蘭嶼·貝殼屋民宿,null,外島/離島地區,台東縣,952台東縣蘭嶼鄉41號,22.02682705,121.5424459,https://www.facebook.com/SHELLHOUSELANYU/?locale=zh_TW,00:00,23:59,15:00,null,null,10:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼·貝殼屋民宿
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (7個停靠站)漁人部落
→ 步行→蘭嶼·貝殼屋民宿"
蘭嶼 嵐羽民宿,null,外島/離島地區,台東縣,952台東縣蘭嶼鄉野銀197-3號,22.039216,121.5666177,https://www.lanyualan.com/home.html,00:00,23:59,15:00,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼 嵐羽民宿
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第一班順時針農會→ (13個停靠站)野銀舊部落
→ 步行→蘭嶼 嵐羽民宿"
瑪莎蕊背包客棧,Masarey Backpacker Hostel,外島/離島地區,台東縣,95242台東縣蘭嶼鄉82號,22.03819135,121.5669,https://www.facebook.com/profile.php?id=100076586683787,09:00,17:00,15:00,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→瑪莎蕊背包客棧
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第一班順時針農會→ (13個停靠站)野銀舊部落
→ 步行→瑪莎蕊背包客棧"
小島生活,null,外島/離島地區,台東縣,952台東縣蘭嶼鄉紅頭3號,22.02473225,121.5544421,https://www.facebook.com/LanyuHomestay,00:00,23:59,14:00,null,null,10:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→小島生活
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (8個停靠站)蘭嶼衛生所
→ 步行→小島生活"
蘭嶼魚飛浪民宿,Lamuran Guesthouse,外島/離島地區,台東縣,95201台東縣蘭嶼鄉,22.02769629,121.5430106,https://165081352020.web.fullinn.tw/,09:00,21:00,15:00,null,null,10:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼魚飛浪民宿
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (7個停靠站)漁人部落
→ 步行→蘭嶼魚飛浪民宿"
Oyawa背包客棧 x旅宿,Oyawa,外島/離島地區,台東縣,952台東縣蘭嶼鄉,22.06701031,121.5667,https://travel.lanyu.info/hostel/iranmilek-tribe/oyawa,null,null,15:00,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→Oyawa背包客棧 x旅宿
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (7個停靠站)漁人部落
→ 步行→Oyawa背包客棧 x旅宿"
休眠中 蘭嶼友達背包客棧,Orchid Island backpackers hostel TOMODACHI,外島/離島地區,台東縣,952蘭嶼鄉台東縣紅頭56 號 ,22.02542667,121.5543259,https://www.facebook.com/LanyuTomodachi/?locale=zh_TW,00:00,23:59,14:00,18:00,07:00,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→休眠中 蘭嶼友達背包客棧
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (8個停靠站)蘭嶼衛生所
→ 步行→休眠中 蘭嶼友達背包客棧"
蘭嶼東清海沙屋民宿,SeaSand,外島/離島地區,台東縣,952台東縣蘭嶼鄉村東清路12-6號號2F,22.0581656,121.565629,https://travel.lanyu.info/hostel/iranmilek-tribe/seasand,09:00,21:00,15:00,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼東清海沙屋民宿
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第一班順時針農會→ (12個停靠站)東清部落
→ 步行→蘭嶼東清海沙屋民宿"
Libang 背包客棧 / 個人工作室,Libang ,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島村17-9號,22.07972306,121.518567,https://www.facebook.com/profile.php?id=100057611374132,null,null,15:00,null,null,11:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→Libang 背包客棧 / 個人工作室
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第一班順時針農會→ (4個停靠站)玉女岩
→ 步行→Libang 背包客棧 / 個人工作室"
嘟嘟悟的家,DoDoWuHomestay,外島/離島地區,台東縣,952台東縣蘭嶼鄉296-3號,22.05957364,121.5098229,https://www.facebook.com/DoDoWuHomestay,00:00,23:59,09:00,15:00,08:00,10:00,台東富岡漁港→搭船→蘭嶼開元漁港→步行(約4分鐘)/租車→嘟嘟悟的家
旅兜- house 背包客棧 Lyu dou, Lyu dou,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島村169號朗島,22.07801313,121.5268,https://www.facebook.com/LyudouHouse/,00:00,23:59,null,null,null,null,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→旅兜- house 背包客棧 Lyu dou
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第一班順時針農會→ (5 個停靠站)朗島國宅
→ 步行→旅兜- house 背包客棧 Lyu dou"
蘭嶼國宅背包客棧,null,外島/離島地區,台東縣,952台東縣蘭嶼鄉椰油村151號,22.05079138,121.5126415,https://travel.lanyu.info/hostel/yayo-tribe/public-housing,09:00,21:00,15:00,null,null,10:00,"【1】蘭嶼交通資訊
要前往蘭嶼有航空及海運兩種方式，路徑共有三種路線：
1.搭乘火車至台東火車站後轉乘計程車至「台東富岡漁港」再搭乘往蘭嶼的船班〈北部出發建議〉。
2.搭船從屏東恆春鎮的「後壁湖漁港」，搭「後壁湖漁港」往蘭嶼的船班〈中部南部出發建議〉。
3.搭飛機從「台東機場」到「蘭嶼機場」。
【2】如何到蘭嶼指南
(1)台東富岡蘭嶼
有綠島之星號（253人座）、恆星號（195人座）兩艘船可以選擇，航行時間端視海象狀況，約2小時即可抵達蘭嶼；旺季時部分蘭嶼回程台東的船班則會途經綠島，約多40分鐘航程。
(2)墾丁後壁湖蘭嶼
有金星五號（240人座）、綠島之星三號（295人座）航程約需2小時左右抵達蘭嶼，建議從台灣西部出發的朋友可直接搭火車或高鐵至高雄後，再共乘接駁車（需預約）到墾丁的後壁湖碼頭前往蘭嶼。
墾丁後壁湖的船班每年三月中至九月中旬開航，其他月份東北季風強勁風浪大停航；台東富崗漁港往蘭嶼的船班全年皆能航行，但若人數不足(例如旅遊淡季)，船公司仍會縮減船班，建議大家除了要先事先訂位之外，同時要確認船班是否正常。"
蘭嶼米亞哇哇潛旅背包客棧,Miawawa_Lanyu ,外島/離島地區,台東縣,952台東縣蘭嶼鄉紅頭124號,22.02549032,121.5545702,https://www.facebook.com/miawawa.lanyu,00:00,23:59,15:00,null,null,10:00,"1.台東富岡漁港→搭船→蘭嶼開元漁港→租車→蘭嶼米亞哇哇潛旅背包客棧
2.台東富岡漁港→搭船→蘭嶼開元漁港→步行→海洋超市→公車第四班逆時針蘭嶼鄉公所(紅頭)→ (8個停靠站)蘭嶼衛生所
→ 步行→蘭嶼米亞哇哇潛旅背包客棧"
兩隻魚,Two Fish,外島/離島地區,台東縣,952台東縣蘭嶼鄉村296之12號,22.05916739,121.509256,http://twofish.okgo.tw/,09:00,21:00,15:00,null,null,10:00,"【飛機】
1.臺東－蘭嶼航線：請洽德安航空，訂票專線：089-362485 / 07-8014711
※票價資訊詳細參考蘭色大門、民航局即時航班資訊
【客輪】
1.臺東－蘭嶼航線（綠島之星二號客輪）　請洽：089-280226
2.後壁湖－蘭嶼航線（金星恆星號客輪）　請洽：089-281477"
蘭嶼薰多琦海景休閒民宿,Lanyu Shundouchi Homestay ,外島/離島地區,台東縣,952台東縣蘭嶼鄉紅頭村25之11號,22.02638566,121.5503737,https://shundouchi.ego.tw/?fbclid=IwAR0pDooPmFQAwxV2JjoWhV1HbCrNIjot1osBhKx2E51aIJd4EdC1zdsl9rc,00:00,23:59,14:00,20:00,null,10:00,"台北→台東：
台北飛台東的航空公司有立榮航空
高雄→台東：
1.火車
從高雄搭乘火車至台東新站，一天約10車班次。
轉搭客運或計程車至台東機場或是富崗漁港。
2.國光客運
選擇搭乘國光客運由高雄上車
到台東火車站，再轉搭鼎東客運或計程車到富崗漁港或是台東機場。
台東→富崗漁港  台東→台東機場
附註：客運班次時間變動以台東總站張貼為準
台東⇆蘭嶼／後壁湖⇆蘭嶼
1. 搭船⛵
台東往蘭嶼：船票來回程每人2300元，民宿可代訂船票！
2.後壁湖⇆蘭嶼
 搭船⛵
後壁湖往來蘭嶼，船票來回程每人2300元，民宿可代訂船票！
台東⇆蘭嶼 　搭飛機
從台東機場可以直接搭飛機到蘭嶼
到達蘭嶼的國內航空，目前有德安航空，德安航空從台東機場往返蘭嶼
航程約20分鐘，每天約6班，全票約1350元不等"
