店家名,地區,縣市,地址,緯度,經度,連結
好好睡GOOD HOSTEL,南部地區,屏東縣,946屏東縣恆春鎮恒南路12巷9號,,,
鯊墾丁潛水旅店 Sharkenting Dive Center,南部地區,屏東縣,946屏東縣恆春鎮恆西路33巷123弄5號,22.00000012,120.7422788,
no excuse X the ride 小帳篷 背包客住宿,南部地區,屏東縣,946屏東縣恆春鎮恆公路1012巷二弄7號,22.00961794,120.7425116,
南喃背包輕旅,南部地區,屏東縣,946屏東縣恆春鎮恒南路29之2號,21.99172957,120.7471052,
海島瘋３號店－薄荷小日子旅宿Days In Bohol,南部地區,屏東縣,946屏東縣恆春鎮恆公路676號,22.00113863,120.7400964,
貓魚小窩,南部地區,屏東縣,946屏東縣恆春鎮環城南路135巷5號,21.99922369,120.7459094,
恆茄-自由潛水背包客棧,南部地區,屏東縣,946屏東縣恆春鎮茄苳路萬泉巷63號,22.03887515,120.7154011,
墾丁幫客青年旅館 Kenting Bunk Hostel,南部地區,屏東縣,946屏東縣恆春鎮墾丁路247號,,,
水采田潛水酒吧民宿,南部地區,屏東縣,946屏東縣恆春鎮福城街66號,21.99779368,120.7468114,
騏艦藍海灣&潛水度假村,南部地區,屏東縣,94646屏東縣恆春鎮龍泉路63號1樓,21.98774393,120.7370634,
深度潛水Deep Dive Center,南部地區,屏東縣,946屏東縣恆春鎮龍泉路246巷6號,21.98189973,120.7290439,
TIAMAT® Diving Club × 苦水輕旅,南部地區,屏東縣,94645屏東縣恆春鎮砂尾路26號,21.95819405,120.7381062,
輕旅宿,南部地區,屏東縣,928屏東縣東港鎮博愛街171-9號,22.46902021,120.4482722,
留下旅舍/ The Way Hostel&Bar,南部地區,屏東縣,928屏東縣東港鎮船頭路24-78號,22.46115877,120.4607014,
深呼吸潛水渡假民宿 Azure Journey Dive & Villa,南部地區,屏東縣,946屏東縣恆春鎮大光路120號-3號,21.94574971,120.7388954,
台灣潛水墾丁店,南部地區,屏東縣,946屏東縣恆春鎮大光路55-60號,21.94309189,120.7363595,
光合樂潛水度假中心,南部地區,屏東縣,946屏東縣恆春鎮大光路138之36號,21.93630504,120.7345034,
好好潛水 GOOD DIVE,南部地區,屏東縣,946屏東縣恆春鎮大光路95號,21.94810092,120.7404743,
新發文旅公園店,南部地區,屏東縣,900屏東縣屏東市新發巷8號,22.67696352,120.4923644,
車城背包客棧,南部地區,屏東縣,944屏東縣車城鄉新興路十號,22.07266079,120.7146447,
三鮫貓潛水,南部地區,屏東縣,946006屏東縣恆春鎮下泉路47-2號,21.92861903,120.7327842,
HDK旱鴨子自由潛水(HanDucK),南部地區,屏東縣,946屏東縣恆春鎮墾丁路通海巷195號,21.94490758,120.7979983,
Kenting Original Hostel 墾丁返璞歸真背包客棧 Backpacker,南部地區,屏東縣,946屏東縣恆春鎮墾丁路通海巷195號,21.94492293,120.7980143,
墾丁 My Home 青年旅館背包客棧,南部地區,屏東縣,946屏東縣恆春鎮墾丁路通海巷21-2號,21.94470499,120.7981491,
好心情-墾丁背包客棧（2館）,南部地區,屏東縣,946屏東縣恆春鎮墾丁路324之2號,21.94605058,120.7947604,
星空/太空艙旅店,南部地區,屏東縣, 946屏東縣恆春鎮墾丁路241號,21.9458002,120.796944,
The First 南灣青年旅館,南部地區,屏東縣,946屏東縣恆春鎮南灣路114號,21.95984014,120.7656155,
台中潛立方,中部地區,台中市,403台中市西區公正路122號,24.14902795,120.6623326,
綠夜文旅,中部地區,台中市,403台中市西區公益路201號8樓,24.14902795,120.6623326,
Calligraphy Greenway Hotel Taichung 草悟道文旅,中部地區,台中市,403台中市西區公益路68號15樓,24.14902795,120.6623326,
台中草悟道住宿綠宿行旅Green Hotel,中部地區,台中市,403台中市西區美村路一段22號,24.14902795,120.6623326,
時空行旅,中部地區,台中市,403台中市西區忠明南路98號,24.14902795,120.6623326,
承億文旅 - 台中鳥日子,中部地區,台中市,403台中市西區健行路1049號,24.14902795,120.6623326,
三好行旅SUN HAO HOTEL. TAICHUNG,中部地區,台中市,408台中市南屯區大墩路525號,24.14902795,120.6623326,
快樂腳旅棧 Happy Inn & Hostel,中部地區,台中市,404台中市北區柳川西路四段1號10F,24.14902795,120.6623326,
嬉·行旅 Hotel Si,中部地區,台中市,404台中市北區太平路201號,24.14902795,120.6623326,
旭日文旅,中部地區,台中市,400台中市中區公園路36號,24.14902795,120.6623326,
台中大毅老爺行旅,中部地區,台中市,403台中市西區五權三街79巷16號,24.14902795,120.6623326,
YOURsHome 你的民宿,中部地區,台中市,40358台中市西區忠明南路333號,24.14902795,120.6623326,
圖格旅 TG Hostel,中部地區,台中市,400台中市中區中山路322號320號,24.14902795,120.6623326,
荷米旅居 Hommie Inn,中部地區,台中市,400台中市中區民族路206號,24.14902795,120.6623326,
紅點文旅,中部地區,台中市,400台中市中區三民路二段149巷8號之3,24.14902795,120.6623326,
黑金文旅 Kgoldhotel,中部地區,台中市,400台中市中區中山路175巷15號,24.14902795,120.6623326,
麻雀巢行旅,中部地區,台中市,400台中市中區平等街24號,24.14902795,120.6623326,
巢旅宿 SU Taichung Hostel,中部地區,台中市,400001台中市中區民權路66號,24.14902795,120.6623326,
圖森小棧,中部地區,台中市,40045台中市中區光復路101號,24.14902795,120.6623326,
承攜行旅 台中自由館 Guide Hotel Taichung ZiYou,中部地區,台中市,400台中市中區自由路二段52-1號,24.14902795,120.6623326,
宜舍單人旅店 (Ease Single Inn),中部地區,台中市,400台中市中區綠川西街135號9樓,24.14902795,120.6623326,
新盛橋行旅S.S.B-Hotel,中部地區,台中市,400台中市中區中山路27號1樓,24.14902795,120.6623326,
路得行旅 國際青年旅館 台中站前館,中部地區,台中市,400台中市中區中山路14號,24.14902795,120.6623326,
葉綠宿．茶覺旅 Tea Way Hotel,中部地區,台中市,400台中市中區成功路10號5樓,24.14902795,120.6623326,
旅巷自在輕旅 Loosha Hostel,中部地區,台中市,40044台中市中區成功路10號12樓,24.14902795,120.6623326,
沐品居太空旅棧 Mu Pin Ju Hostel,中部地區,台中市,400台中市中區建國路187號,24.14902795,120.6623326,
挪威森林台中行旅3號館 Norway Forest Taichung Travel Hotel No.3,中部地區,台中市,40041台中市中區民權路162號,24.14902795,120.6623326,
漫旅光城,中部地區,台中市,400台中市中區公園路36號,24.14902795,120.6623326,
快樂腳旅棧 Happy Inn & Hostel,中部地區,台中市,404台中市北區臺灣大道一段640號,24.14902795,120.6623326,
藻宿-找宿,中部地區,台中市,404台中市北區錦新街40號,24.14902795,120.6623326,
余舍行旅,中部地區,台中市,407台中市西屯區環中路二段1129號,24.14902795,120.6623326,
璞樹文旅 TREEART HOTEL,中部地區,台中市,407台中市西屯區黎明路三段235號,24.14902795,120.6623326,
台中朝聖行旅,中部地區,台中市,404台中市北區雙十路二段92號,24.14902795,120.6623326,
淼淼旅墅,外島/離島地區,澎湖縣,880澎湖縣馬公市150號,23.53803301,119.5563405,
大山營區旅宿,外島/離島地區,澎湖縣,880澎湖縣馬公市300號,23.52608587,119.5609522,
澎湖嵵裡。仙人掌海景民宿,外島/離島地區,澎湖縣,88059澎湖縣馬公市時裡290號,23.52677344,119.5627841,
澎湖香亭民宿,外島/離島地區,澎湖縣,88059澎湖縣馬公市,23.52673874,119.5694621,
日時行旅精緻民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市19-6號,23.52640544,119.5704074,
那。故事水岸莊園民宿,外島/離島地區,澎湖縣,880馬公市100號,23.51670392,119.5746608,
澎湖嶼光。角落民宿Somewhere Guesthouse,外島/離島地區,澎湖縣,880澎湖縣馬公市,23.51580542,119.5892248,
微浮山水民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市珠江120之7號,23.51572579,119.5895271,
平湖窩行旅 PH Hostel,外島/離島地區,澎湖縣,880澎湖縣馬公市中興路22號,23.56677551,119.5670643,
澎湖北吉光背包客民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市山水里17-26號,23.5141477,119.5955935,
好美背包客 Nice Hostel,外島/離島地區,澎湖縣,880澎湖縣馬公市啟明街6號,23.56491919,119.5665366,
旅行者背包客棧,外島/離島地區,澎湖縣,880澎湖縣馬公市五福路3巷32弄25號880,23.57934807,119.5759235,
澎湖玩聚背包民宿,外島/離島地區,澎湖縣,885澎湖縣湖西鄉,23.57023175,119.6124556,
積木屋背包客棧,外島/離島地區,澎湖縣,880澎湖縣馬公市五德里雞母塢97號,23.52749466,119.5859085,
造夢先生背包客民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市惠安路8號,23.56415579,119.5649283,
捌貳趣民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市自強街20巷4號,23.57573132,119.5698764,
好天旅店民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市西文澳92-69號,23.56708985,119.5843684,
澎湖維多麗亞民宿 青旅 Victoria,外島/離島地區,澎湖縣,880澎湖縣馬公市鎖管港316號,23.52895499,119.6025307,
提拉米宿海景民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市256之1號,23.58688965,119.5795889,
杰源民宿,外島/離島地區,澎湖縣,885澎湖縣湖西鄉168-1號,23.55700338,119.6307077,
背包客民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市西衛No. 277-2號,23.5853195,119.5827483,
古道背包客棧,外島/離島地區,澎湖縣,880澎湖縣馬公市71號,23.56435223,119.5645455,
海樂民宿背包客,外島/離島地區,澎湖縣,880澎湖縣馬公市316號,23.55377787,119.6161383,
夢幻魚背包客民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市173號,23.53524929,119.603818,
宿息幾迷背包客棧,外島/離島地區,澎湖縣,880澎湖縣馬公101-2 號,23.5658138,119.6006514,
風之島背包客,外島/離島地區,澎湖縣,885澎湖縣湖西鄉號,23.57224025,119.6141229,
巴巴小窩背包客民宿,外島/離島地區,澎湖縣,8859388593澎湖縣湖西鄉許家村15之1號,23.5873798,119.6090182,
輕舞飛揚背包客居旅民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市272-3 號,23.58552384,119.5816631,
小貝殼背包客棧,外島/離島地區,澎湖縣,885澎湖縣湖西鄉菓葉村菓葉46-2號,23.57929498,119.6792598,
小地方背包客民宿 PLACE Backpackers,外島/離島地區,澎湖縣,澎湖縣臺灣省1 137號之 講美村 Baisha,23.63142883,119.5979313,
Go home Backpackers,外島/離島地區,澎湖縣,885澎湖縣湖西鄉60 號,23.56892342,119.6639878,
澎湖七號旅店民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市鎖港里387-3號,23.52906014,119.6008198,
有間寓背包旅宿 Habitate HomeStay,外島/離島地區,澎湖縣,885澎湖縣湖西鄉沙港1之5號,23.59871971,119.6242686,
Champion Homestay 冠軍民宿,外島/離島地區,澎湖縣,885澎湖縣湖西鄉260號,23.57883103,119.6177629,
起點旅行民宿 D.C. Inn はじまりのゲストハウス,外島/離島地區,澎湖縣,880澎湖縣馬公市文化路18之1號,23.56832975,119.5675461,
夜之屋Night House,外島/離島地區,澎湖縣,880澎湖縣馬公市11之39號,23.55789134,119.5934005,
阿豹會館民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市131之10號,23.54711357,119.6136536,
青·輕旅,外島/離島地區,澎湖縣,880澎湖縣馬公市71-2號,23.55099427,119.6128803,
就這兒 民宿 Here B&B,外島/離島地區,澎湖縣,880澎湖縣馬公市永興街6號,23.56660137,119.5658532,
蒙德里安山水民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市珠江287號,23.51998999,119.595003,
澎湖船家寶民宿 SABAI BnB,外島/離島地區,澎湖縣,885澎湖縣湖西鄉港底127號,23.57030963,119.6113229,
起司餅乾民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市宅脚嶼160-3號,23.58119368,119.6065346,
有間客棧,外島/離島地區,澎湖縣,881澎湖縣西嶼鄉外垵村29-31號,23.56754884,119.4802475,
西瀛旅社,外島/離島地區,澎湖縣,880澎湖縣馬公市民福路9號,23.56399829,119.5675312,
澎湖諾亞方舟民宿,外島/離島地區,澎湖縣,885澎湖縣湖西鄉港底150號,23.57129192,119.6112358,
澎湖民宿-隘門168民宿,外島/離島地區,澎湖縣,88593澎湖縣湖西鄉隘門村隘門168號,23.5571286,119.6308249,
易宿家特色民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市五德里141號,23.52611727,119.58786,
有間黑店驛站民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市西衛No. 757號,23.58793708,119.5826335,
來客佳民宿,外島/離島地區,澎湖縣,885澎湖縣湖西鄉成功村142號之 1號,23.56821281,119.6168323,
917民宿,外島/離島地區,澎湖縣,88052澎湖縣馬公市安宅里宅腳嶼250號,23.58196129,119.6021568,
見見灣海景民宿,外島/離島地區,澎湖縣,881澎湖縣西嶼鄉146-6號,23.58190087,119.5106402,
漁人的家,外島/離島地區,澎湖縣,881澎湖縣西嶼鄉225-5號,23.57475003,119.5019698,
澎湖香亭民宿,外島/離島地區,澎湖縣,88059澎湖縣馬公市,23.52674661,119.5694652,
澎湖臨海居度假會館,外島/離島地區,澎湖縣,880澎湖縣馬公市臨海路10-6號,23.56326811,119.5670465,
一二三石頭人民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市民富街42巷12號,"23.562254278904014,",119.5835715,
大池星月灣民宿,外島/離島地區,澎湖縣,881澎湖縣西嶼鄉大池村132號,23.6147756,119.5142744,
澎湖熱帶魚民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市西文里 716號,23.56850405,119.5938551,
加利利海民宿,外島/離島地區,澎湖縣,"880澎湖縣馬公市 西衛, 號",23.57865926,119.5814878,
留星嶼民宿,外島/離島地區,澎湖縣, 884澎湖縣白沙鄉瓦硐村29-1號,23.65629208,119.5893984,
在水一方 Memory In Water B&B,外島/離島地區,澎湖縣,880澎湖縣馬公市西衛 ,23.58333808,119.5782318,
歸宿 民宿 Destination Inn,外島/離島地區,澎湖縣,澎湖縣馬公市88051-5號,23.52785887,119.5886338,
海風情民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市西衛里西衛89-3號,23.57958931,119.5816595,
姆居民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市三多路,23.57768461,119.5725454,
海灣灣,外島/離島地區,澎湖縣,880澎湖縣馬公市83-56號,23.57812452,119.5824729,
古道背包客棧,外島/離島地區,澎湖縣,880澎湖縣馬公市71號,23.56435004,119.5645452,
西瀛旅社,外島/離島地區,澎湖縣,880澎湖縣馬公市民福路9號,23.56399612,119.5675283,
大山營區旅宿,外島/離島地區,澎湖縣,880澎湖縣馬公市300號,23.52608879,119.5609533,
好朋友民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市22號93,23.57233718,119.602902,
百慶旅店,外島/離島地區,澎湖縣,880澎湖縣馬公市三民路16號,23.56675564,119.5687666,
海洋派對民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市東文澳100-2號,23.56106512,119.5906123,
好時光民宿Good Time,外島/離島地區,澎湖縣,880澎湖縣馬公市223-1號,23.58405247,119.5823118,
慢活角落民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市西 衛 223-3 號,23.5839019,119.5825264,
野居渡假民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市西衛No. 221-15號,23.58371016,119.5826639,
我們的民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市石泉里11之2號,23.55754233,119.5937422,
木艮私宅•Mugen Homestay,外島/離島地區,澎湖縣,880澎湖縣馬公市586號,23.55295793,119.5897619,
艾的驛站民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市西文澳92-29號,23.56708673,119.5848697,
23.5蔚藍民宿,外島/離島地區,澎湖縣,881澎湖縣西嶼鄉后螺3之2號,23.63731801,119.5350853,
唯你渡假民宿,外島/離島地區,澎湖縣,澎湖縣馬公市西衛里221之12號,23.58365283,119.5826513,
天邊海角民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市民族路119號,23.57362922,119.5671507,
流浪鯨魚民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市鎖港里18號,23.53054164,119.6046007,
PENGHU LUCAI B&B 旅采民宿,外島/離島地區,澎湖縣,880澎湖縣馬公市1鄰雞母塢216號,23.52341067,119.5902782,
旅朋友民宿Travelfriends,外島/離島地區,澎湖縣,885澎湖縣湖西鄉號,23.58300716,119.6084438,
琉浪潛水背包客棧Drift Diving Hostel,外島/離島地區,屏東縣,929屏東縣琉球鄉忠孝路一巷2-6號,22.32495307,120.3644877,
奧之海潛水旅宿 Odyssey Divers Hostel,外島/離島地區,屏東縣,929屏東縣琉球鄉中正路57號,22.32786016,120.3576314,
琉影潛水,外島/離島地區,屏東縣,929屏東縣琉球鄉中正路1巷90-2號,22.33049756,120.3586706,
琉浪潛水背包客棧Drift Diving Hostel,外島/離島地區,屏東縣,929屏東縣琉球鄉忠孝路一巷2-6號,22.32495219,120.3644926,
co_diving 自由潛水工作室,外島/離島地區,屏東縣,929屏東縣琉球鄉和平路3巷1-5號,22.33476833,120.3718092,
酷落潛水 Kuroshio Diving,外島/離島地區,屏東縣,929屏東縣琉球鄉和平路13-3號,22.3352976,120.3714012,
小琉球-小綠龜潛水,外島/離島地區,屏東縣,929屏東縣琉球鄉和平路32-5號,22.33596029,120.3713078,
EXTD diving center 延伸潛水,外島/離島地區,屏東縣,929屏東縣琉球鄉中興路33-360號,22.33752494,120.3673792,
白牌自由潛水中心,外島/離島地區,屏東縣,929屏東縣琉球鄉肚仔坪路15之2號,22.34277216,120.363438,
Dive Buddy 自由潛水工作室&背包客棧,外島/離島地區,屏東縣,929屏東縣琉球鄉中正路188之6號,22.34054099,120.371368,
蹼客基地,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路39-1號前方,22.34502459,120.3863856,
阿貴潛水中心,外島/離島地區,屏東縣,929屏東縣琉球鄉環島公路40-1號,22.3461279,120.3883345,
O2潛水俱樂部,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路151之9號,22.3472335,120.3850874,
琉潛貨櫃潛水旅宿 Liuqiu Dive,外島/離島地區,屏東縣,929屏東縣琉球鄉本漁路81巷20之2號,22.34799012,120.3852213,
大眾浮潛,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路277號,22.35237684,120.3828201,
阿Ya潛棧 A Ya Diving Hostel,外島/離島地區,屏東縣,929屏東縣琉球鄉復興路99號,22.34670329,120.3689004,
老婆潛水工作室,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路18之3號,22.34561647,120.3749307,
秘密客潛水旅宿,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路50號之3,22.34662052,120.3738511,
流星打氣站,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路79號之9號,22.34686494,120.3715676,
熊潛水培訓中心,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路87號,22.34702907,120.3712214,
夏琉民宿 The Summerflow Hostel,外島/離島地區,屏東縣,929屏東縣琉球鄉中正路5-8號,22.32358851,120.3575335,
杉橘青旅 • Hinoki-G Hostel,外島/離島地區,屏東縣,929屏東縣琉球鄉中正路6號,22.32402892,120.3576517,
嶼浪民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉忠孝路70之15號,22.32481303,120.3610659,
小琉球樂嶼日出民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉忠孝路1巷13-5號,22.32459997,120.3640274,
海明崴民宿,外島/離島地區,屏東縣,92942屏東縣琉球鄉忠孝路一巷1-16號,22.32447839,120.3638068,
浪。境小琉球秘境民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉忠孝路一巷2之11號,22.3248356,120.3642879,
彩色屋民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉南福村忠孝路一巷2之1號,22.32515316,120.3642705,
小琉球歐若拉海景民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉信義路51-1號,22.32909171,120.3545748,
歡迎你民宿 WELCOME,外島/離島地區,屏東縣,92903屏東縣琉球鄉信義路9號,22.32841802,120.3581703,
琉星小屋,外島/離島地區,屏東縣,929屏東縣琉球鄉信義路3-7號,22.32823442,120.358411,
琉宿海景莊園,外島/離島地區,屏東縣,929屏東縣琉球鄉信義路39號,22.32895344,120.3563366,
三姐民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉信義路18-2號,22.32935926,120.356561,
小琉球樂嶼海景民宿,外島/離島地區,屏東縣,92943屏東縣琉球鄉三民路1-61號,22.34216983,120.3845961,
海洋風情渡假旅館,外島/離島地區,屏東縣,929屏東縣琉球鄉民生路73之1號,22.35339753,120.3821374,
流浪背包客棧 Liuqiu Backpackers,外島/離島地區,屏東縣,929屏東縣琉球鄉上福村杉板路51巷34號,22.34133914,120.3663091,
小琉球雀巢背包客棧,外島/離島地區,屏東縣,929屏東縣琉球鄉民生路87號,22.35338987,120.381755,
Sleep&go小琉球背包房,外島/離島地區,屏東縣,929屏東縣琉球鄉中興路289號2F,22.34600685,120.3739277,
 漫慢旅宿,外島/離島地區,屏東縣,929屏東縣琉球鄉仁愛路34號,22.33825169,120.3747671,
暖琉背包客棧,外島/離島地區,屏東縣,929屏東縣琉球鄉仁愛路3-1號,22.33752562,120.3751129,
居琉潛水背包客棧一館,外島/離島地區,屏東縣,929屏東縣琉球鄉中華路42-12號,22.34473109,120.3688026,
Slack BnB,外島/離島地區,屏東縣,929屏東縣琉球鄉衫板路51巷86號,22.34182723,120.3660978,
琉Chill背包客棧,外島/離島地區,屏東縣,929屏東縣琉球鄉仁愛路44之5號,22.33807077,120.375222,
居琉潛水背包客棧二館,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路283號,22.35249978,120.3826157,
小島，走走,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路26-3號,22.34876314,120.3790331,
黑背包,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路16號,22.34532999,120.3750167,
嶼海生活背包宿,外島/離島地區,屏東縣,92941屏東縣琉球鄉民生路87號2樓,22.35357147,120.3819783,
LQ膠囊輕旅-LIUQIU,外島/離島地區,屏東縣,929屏東縣琉球鄉中正路1巷44號929,22.32948473,120.3590127,
小琉球野原星之宿,外島/離島地區,屏東縣,929屏東縣琉球鄉復興路173號,22.34983227,120.3743467,
小琉球獵戶座背包寨,外島/離島地區,屏東縣,929屏東縣琉球鄉中華路118號,22.34524498,120.3728239,
InnOcean 在海裡潛水旅宿,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路6-4號,22.34437855,120.3751217,
上福民宿 ,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路79-6號,22.34688127,120.3717725,
自由空間旅宿 ,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路51-5號2樓,22.34867537,120.3786839,
Sleep&go小琉球背包房,外島/離島地區,屏東縣,929屏東縣琉球鄉中興路289號2F,22.34599858,120.3739262,
小琉球純 住宿True Hostel Xiao liuqiu,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路215號,22.35109136,120.384165,
Lixia Hostel 立夏旅宿,外島/離島地區,屏東縣,929屏東縣琉球鄉本漁路189號小琉球,22.35028241,120.3803536,
小琉球船屋特色民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路224號,22.35223925,120.3820783,
小琉球星月旅店,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路116號,22.35142447,120.3813594,
小琉球嗚啦啦聚所 oh la la Hostel,外島/離島地區,屏東縣,929屏東縣琉球鄉民族路88之1號1樓,22.35086102,120.3768182,
燕燕青年旅店 Swallows Hostel,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路20-3號,22.34581454,120.3872745,
旅.Highway,外島/離島地區,屏東縣,929屏東縣琉球鄉復興路2之16號,22.33986896,120.3641047,
萊克民宿-小琉球民宿 包棟,外島/離島地區,屏東縣,92941屏東縣琉球鄉中山路11-1號,22.34429349,120.3746582,
墨坊 - 海廢基地Morefun,外島/離島地區,屏東縣,92942屏東縣琉球鄉杉板路102號,22.34126879,120.3686944,
琉意旅宿,外島/離島地區,屏東縣,929屏東縣琉球鄉中正路1巷8號,22.32975385,120.3586609,
小琉球彼空映旅宿,外島/離島地區,屏東縣,929屏東縣琉球鄉杉福村復興路169之61號,22.34913525,120.3716671,
濱境行旅 Begin Inn,外島/離島地區,屏東縣,929屏東縣琉球鄉中興路No. 19-3,22.3332163,120.3618554,
小琉球皮亞諾旅店,外島/離島地區,屏東縣,929屏東縣琉球鄉仁愛路42號,22.33775954,120.3752925,
正好友生態環保旅店,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路153號,22.35213574,120.3818531,
快樂小屋,外島/離島地區,屏東縣,929屏東縣琉球鄉復興路8之16號,22.34410228,120.3674602,
屏東小琉球海之旅民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路29-1號,22.34518176,120.3870889,
小琉球琉漾民宿,外島/離島地區,屏東縣,92942屏東縣琉球鄉忠孝路184-1號,22.33093326,120.3641003,
琉客棧民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉中興路54之26號,22.33556501,120.3653856,
Xpb民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉中正路124-1號,22.33202882,120.3659103,
小琉球朵小路北歐民宿(Secret Path B&B),外島/離島地區,屏東縣,929屏東縣琉球鄉復興路163-2號,22.3510029,120.3743884,
樓仔厝,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路206號,22.35194671,120.3819036,
Liuqiu Dive Hostel,外島/離島地區,屏東縣,屏東縣琉球鄉本漁路81巷20之2號929‎ ,22.34816292,120.385799,
晴空宿,外島/離島地區,屏東縣,929屏東縣琉球鄉上杉路80之1號,22.34286244,120.3684489,
空中花園聖誕屋,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路297號,22.35271416,120.3823917,
微浮包棟民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路81-1號,22.35012975,120.3796398,
36潛旅店,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路36號,22.34634442,120.3880366,
玩BOX Show琉球民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉上杉路250之6號,22.34779906,120.3660909,
小琉球【我們這一家輕旅宿】,外島/離島地區,屏東縣,929屏東縣琉球鄉上杉路130巷30號,22.34467758,120.3673092,
七武海旅宿,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路102號,22.34727677,120.3707178,
極之宿,外島/離島地區,屏東縣,929屏東縣琉球鄉上杉路130巷3號,22.34474811,120.3669992,
藍貝島潛水旅宿一館,外島/離島地區,屏東縣,929001屏東縣琉球鄉民權路50號之1,22.34507397,120.3765757,
首瓦包棟民宿,外島/離島地區,屏東縣,92941屏東縣琉球鄉中山路一巷50-2號,22.35133669,120.3803154,
98旅店,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路98號,22.34725272,120.370795,
貳拾捌旅店,外島/離島地區,屏東縣,929屏東縣琉球鄉上福村杉板路47之1號,22.34071095,120.3657689,
小琉球 尊順祿藝術旅店,外島/離島地區,屏東縣,929屏東縣琉球鄉本漁路160巷13號,22.35093245,120.3813787,
小火雞觀海民宿,外島/離島地區,屏東縣,929屏東縣琉球鄉復興路91-9號,22.34406068,120.3670404,
杉板灣Villa民宿 Shanban Bay Inn,外島/離島地區,屏東縣,929屏東縣琉球鄉肚仔坪路2號,22.34230751,120.3645151,
旅境藝術旅店,外島/離島地區,屏東縣,929屏東縣琉球鄉復興路161-57號,22.35124416,120.3751657,
