關鍵字,回應
小琉球潛水-潛雪SnowDiving,介紹：/n潛雪 SnowDiving提供潛水考證課程，無論你是潛水初學者還是希望進階成為專業潛水員，他們都有適合您的課程安排，他們擁有經驗豐富的教練團隊，將耐心指導您掌握潛水技巧和安全知識，讓你順利通過潛水考試，除了潛水考證課程，他們也提供旅遊潛水服務，帶你前往世界各地最美麗的潛水勝地，讓你在不同國家和地區探索不同的海底世界，感受海洋的魅力。
小琉球-琉球夯浮潛,介紹：/n琉球夯浮潛擁有面惡心善的陳聰，是他們熱情的潛水教練，無論你是潛水初學者還是有經驗的潛水員，陳聰都會用他豐富的經驗和專業知識，帶領你一同探索小琉球美麗的海底世界，他們提供多樣化的浮潛行程，帶你前往小琉球最熱門的潛水勝地，欣賞色彩繽紛的珊瑚礁，近距離觀察海洋生物，並沉浸在清澈湛藍的海水中。
布雷克潛水,介紹：/n布雷克潛水是一家專業的潛水中心，提供輕鬆上手的浮潛體驗，讓你在不會游泳的情況下也能輕鬆享受美麗的海洋世界，無論你是初次嘗試浮潛，還是有經驗的潛水員，他們都歡迎你加入他們的行列，他們將帶領你悠遊在這片珊瑚礁的美麗海域，親自親近海洋世界的繽紛與多樣性。
阿Ya潛棧 A Ya Diving Hostel,介紹：/n如果你想在台灣或其他國家進行SCUBA潛水，阿Ya潛棧是你最好的選擇，加入他們的PADI行列，開啟你的潛水之旅。在阿Ya潛棧完成PADI潛水課程後，你將成為一名具有國際認證的潛水員，這代表你在世界各地都可以自信地進行潛水活動，你將可以參與當地導潛陪同，一同探索美麗的大海，欣賞色彩繽紛的珊瑚礁，近距離觀察海洋生物，並沉浸在清澈湛藍的海水中。他們的潛水課程專業且安全，由經驗豐富的教練團隊帶領，確保你能夠掌握潛水技巧和安全知識，無論你是潛水初學者，還是希望進階成為專業潛水員，他們都有適合你的課程，讓你順利通過潛水考試，成為一名合格的潛水員。
老婆潛水工作室,介紹：/n老婆潛水工作室，一個想把老婆推下海的老闆開的潛水店家，提供輕鬆上手的浮潛體驗，讓你在不會游泳的情況下也能輕鬆享受美麗的海洋世界，無論你是初次嘗試浮潛，還是有經驗的潛水員，他們都歡迎你加入他們的行列，他們將帶領你悠遊在這片珊瑚礁的美麗海域，親自親近海洋世界的繽紛與多樣性。
小琉球陽光浮潛,介紹：/n小琉球陽光浮潛是一家專業的潛水中心，提供輕鬆上手的浮潛體驗，讓你在不會游泳的情況下也能輕鬆享受美麗的海洋世界，無論你是初次嘗試浮潛，還是有經驗的潛水員，他們都歡迎你加入他們的行列，他們將帶領你悠遊在這片珊瑚礁的美麗海域，親自親近海洋世界的繽紛與多樣性。
秘密客潛水旅宿,介紹：/nMimic Diving Center是一間專業的潛水店家，提供多種潛水服務項目，服務包括體驗潛水、休閒潛水教學和技術潛水教學，無論是初學者還是有經驗的潛水員，他們都有適合你的潛水課程，讓你在安全的環境中享受潛水的樂趣，除了教學課程，他們還提供觀光潛水和潛水旅遊服務，帶你前往各個潛水勝地，探索美麗的海底世界，你可以近距離觀察海洋生物，欣賞色彩繽紛的珊瑚礁，沉浸在清澈湛藍的海水中，感受大自然的奇妙。
派大星潛水／浮潛,介紹：/n派大星潛水為你帶來專屬的星座海龜，讓你擁有滿滿的回憶，無論你喜歡深潛、浮潛還是潛水課程，派大星潛水都有專業的服務供您選擇！他們擁有經驗豐富的潛水教練團隊，將耐心指導你掌握潛水技巧和安全知識，讓你能夠在海底世界中自在探索，與海龜們一同共舞。
水啦潛水教練發展中心,介紹：/n水啦潛水教練發展中心是一家專業潛水公司，注重運動教育和海洋運動，培養學員成為教練並關注環境保護，他們提供專業、安全、健康的潛水管道，讓更多人欣賞水下美景，共同維護海洋生態。
流星打氣站,介紹：/n流星打氣站是一家提供全方位潛水體驗的專業機構，為你提供多種潛水相關服務，讓你在海洋的世界中尋找無盡的樂趣和刺激，服務內容包含體驗潛水、潛水訓練、住宿、器材出租等，在讓更多人體驗潛水樂趣的同時，他們也嚴格遵守安全守則，確保大家在參與活動時都能安全無虞。
小琉球潛水-水藍攝潛水 Water blue diving,介紹：/n水藍攝潛水是一家專業的潛水店家，提供多項潛水服務，其中包括水中攝影，讓你在潛水的同時，捕捉下海洋的美麗瞬間，留下難忘的回憶。他們的潛水教練團隊經驗豐富且專業，能夠指導你在水下如何拍攝美麗的海洋風景和生物，不論你是初學者或是有經驗的攝影師，他們都能提供適合你水中攝影的潛水行程。在水藍攝潛水，你將有機會近距離觀察海洋生物，拍攝色彩繽紛的珊瑚礁和不同品種的海洋生物，讓你的攝影作品更加豐富多彩。
熊潛水培訓中心,介紹：/n熊潛水於2014年創立，致力於推廣海洋生態保育概念和提供專業潛水課程，並於2020年獲得PADI五星潛水渡假村認證。2023年昇華為五星教練發展潛水度假村，致力培育更多專業潛水教練，並重視活動安全，定期投保保險維護參與者權益。
海世界浮潛,介紹：/n海世界浮潛專注於潛水教學和旅遊，提供多種潛水課程和精心挑選的海洋旅遊活動，並以客戶滿意度為首要目標，致力於提供安全、專業和個人化的潛水體驗。
小海龜水上活動推薦,介紹：/n愛潛水，有多種水上活動的潛水店家，包括浮潛、獨木舟、SUP、深潛和自潛等，讓你親身體驗與觀察海洋的美妙之處。浮潛和獨木舟是小琉球最受歡迎的活動之一，潛入清澈見底的海水中，你將驚喜地發現各種色彩繽紛的魚類和海膽，甚至有機會與小海龜近距離接觸，讓你的海洋體驗更加豐富。深潛和自潛則提供你挑戰性和刺激性的潛水體驗，深潛讓您探索更多珊瑚和海底生物，而自潛則是一種與大海親密接觸的獨特方式，無論你選擇哪種活動，愛潛水都將帶給你一個難忘的海洋冒險。
全球技術潛水（嘉義店）,介紹：\n雖然我們是都市店，但如有需求我們也有體驗水肺潛水的項目喔。\n體驗潛水適合想要嘗試水下呼吸的你，不會游泳也沒關係，全程教練會帶著你。無論海邊/都市，都能嘗鮮這不一樣的感覺喔！
UFO悠浮潛水,介紹：\n我們提供了專業的潛水考證、船潛旅遊以及潛旅。\n詳情課程及裝備資訊歡迎私訊小盒子。
三木子潛水選品,介紹：\n一家位於台南市的潛水裝備選品店，勞闆當初買人生中第一套裝備時候，對裝備不太熟悉，於是聽了店家介紹，入手屬於自己的裝備，但在潛了一陣子，發現有些裝備並不是那麼適合潛水員自有的，於是又忍痛買了第二套，當時想著別讓後來的人跟自己一樣走彎路，於是決定開一家潛水選品店，店內商品皆經過篩選，即便不太懂裝備小白都不擔心買到不合適的裝備。
Diversity freediving 潛城自由潛水訓練中心 台南站,介紹：\n上帝賦予每個人一口氣的時間，公平的讓每個人沉醉在深藍中，感受寧靜，享受自由，都市中也能感受千山萬水。\n曾經自潛拯救我們的生活，只因對於內太空執著的愛，因緣際會讓我們成為那些初期教育者，這是我們在都市叢林走過的路，不如，讓我們帶著你一起走吧!
銀色快手台南潛水中心,介紹：\n我們有潛水旅遊、潛水攝影、民宿，近後壁湖，讓專業潛水教練帶您悠游海底世界。無論是想體驗潛水或取得國際潛水執照，我們會安排潛水攝影教練，為您拍攝海底潛水的影像。
水領域潛水中心,介紹：\n我們都是喜歡水的孩子，所以在台南的某個角落開了一間潛水店，水領域。
高手潛水,介紹：\n潛水教學.裝備.維修.旅遊.攝影.拍照.Watershot led攝影燈.台灣總代理。
浪人潛水,介紹：\n我們有專業的潛水訓練課程(含國際潛水證照)、專業導潛+潛水旅遊、潛水輕重裝備專業器材、歡迎軍、公、教團體報名、歡迎各專科、大學、校園社團報名拿證照。
海天潛水俱樂部,介紹：\n海天潛水會創立於1998年，是一家 “五星級教練培訓中心 PADI 5 Star IDC Centre”及水底攝錄影專門店，水下生態記錄片製作，擁有多名專業潛水教練及水底攝錄影師，自設豪華專業潛水船，成立至今，會員人數多達數千人，來自於社會不同階層，及不同程度潛水員，大家都本著潛水為他們的興趣，互相分享，交流，發揮團體及合作精神，使潛水活動更加安全，和諧和有樂趣。
一名鯨人影像潛水中心,介紹：\n提供國際潛水證照取證、潛水旅遊、體驗潛水、潛水攝影、影片拍攝、 剪輯 、調光。
台灣潛水企業有限公司,介紹：\n台灣潛水1980年以工程潛水起家，後漸漸轉型為休閒潛水。\n台灣潛水宗旨為「Bring Ocean Into Your Life」，藉由潛水，讓海洋進入大家的生活。讓更多人愛上大海而成為海人，跟著我們一起保護這片大海。無論是提供專業的潛水相關課程，海洋商品的販售，保育活動的推廣…都希望能真正的將海洋融入你我的生活。親海、知海、愛海，是上天賦予海島國家重要的使命。
解憂潛水Chill Diving,介紹：\n「解憂」”chill”是休閒潛水能夠帶給我們最棒的感受，來海邊潛水chill一下吧！和我們一起解除生活中的一切憂愁！教練Hao：我喜歡與海洋生物互動、喜歡置身於海底忘卻一切煩惱的感覺，所以我熱愛潛水，更熱衷於將這項最棒的技能傳授給所有喜歡大海的人。
高雄 Blue Marine 潛水,介紹：\n我們有潛水裝備零售、潛水教學、潛水活動、SUP、衝浪、溯溪、野營、帆船、遊艇、登山。
貝里斯潛水,介紹：\n我們提供專業的SDI系統潛水訓練以及舉辦潛水旅遊活動。
AGA 技術潛水中心,介紹：\n這是一個阿嘎潛水樂活團的歡樂平台。\n大家可以在這邊分享潛水相關資訊。
多樂潛水,介紹：\n我們有提供潛水器材、水中攝影裝備銷售、潛水訓練教學、國內&國外潛水旅行。
萬德福潛水有限公司,介紹：\n萬德福的發音源自Wonderful在英文有精彩、美妙、絕妙的，令人驚嘆的，極好的意思。教練喜歡潛水，無以計數的下水，每次的下水，大海總是呈現精彩、美妙、絕妙的，令人驚嘆的，極好的一面，wonderful of  oecan有感而發。
日大潛水RIDA Diving,介紹：\n日大潛水秉持著三十年專業銷售之經驗，提供了水肺潛水、自由潛水、游泳浮潛用具、救生用品 戲水相關之器材用品。長年深耕台灣市場並深獲合作廠商及消費者之滿意度肯定公司成員秉持著對海洋的熱愛以及對商品品質的要求各項專業級潛水裝備皆由內部成員親自檢驗與實際操作使用確保消費者購買到專業的品質以外更是得到專業的建議。歡迎跟我們ㄧ樣熱愛海洋活動的朋友們。
Solidblue?藍潛水工作室,介紹：\n我們提供了專業的潛水教學、客製化潛水團、裝備租借與販售。
高雄自由潛水中心,用自由潛水愛上這片美麗的海洋。
蓬萊潛水,介紹：\n主要服務內容包含潛水工程、PADI潛水「自由、水肺」。
羅浮潛水中心,介紹：\n各級潛水訓練課程、教練發展課程、潛水器材出租、出售、潛水旅遊。
innocean 在海裡 潛水旅宿,介紹：\n我們提供背包客房、體驗潛水、水肺課程、導潛、SUP。
山潛水工作室Sapai scuba diving studio,介紹：\n我們有提供潛水體驗、水下導覽、PADI潛水教學、PADI高氧潛水教學、OW.AOW.RS技術精進教學。
高峰潛水訓練中心,介紹：\n旨在推動「終身學習愛海洋、全人教育重環保」的理念。
Freeisland 自由島嶼,介紹：\n享受自由無拘束的跳躍\n輕描淡寫去尋覓心靈\n海浪拍打成了一首首樂章\n把心情融入湛藍的天空\n這是一個教自由潛水的地方
樂芙海洋,介紹：\n熱愛海洋的朋友們，樂芙海洋歡迎您。\n這裏提供體驗潛水、潛水教學、SUP立式划槳。
O.H海歸潛水,介紹：\nOcean代表“海洋” ，Hedonic代表“愉悅的”​-這是海的回饋。\n你問我們：O.H有什麼特別？安全為上是無可省略的，我們至今仍保持踏入潛水教育的初衷而創立O.H 『成為專業』『讓你信任、帶你進入潛水，享受未有的寧靜愉快』『怕水、不擅長游泳也可以做到』『這裡還會是你的第二個家』就是我們的初衷。
墾丁GO Diving趣潛水&寧靜的家3館,介紹：\nGo Diving趣潛水(背包客棧)\n1.體驗潛水(你身邊的私屬潛水管家)。\n2.私人秘境。
Tec Only Kenting Diving Center,介紹：\n我們提供水肺潛水教學、自由潛水教學、體驗潛水、潛水旅遊、住宿。
墾丁自由潛水 Freedive Kenting,介紹：\n提供墾丁自由潛水、特殊專長課程訓練機構、潛水中心。\n＊相關證照＊\n自由潛水教練AIDA、SSI\n美國瑜珈聯盟E-RYT 200\n美國國家運動醫學學院私人教練NASM-CPT\n初級技術救護員EMT-1\n我們致力於特殊專長課程訓練，透過不同面向交叉訓練補足盲點，安全練習有效進步，是我們創建的最大宗旨。
海水正藍Ocean Blueming,介紹：\n提供微距班、後期編修班、Olympus TG系列。\n在微距班裡，大部分學員拿的就是TG，TG想要拍得好，不只是前期使用正確的方法打光，還有後期整體對畫質的控制，尤為重要。因此，有時會疑惑別人的TG跟自己的TG不一樣?這就跟我們在看gopro官方影片賞心悅目激動人心的畫質與顏色後，發現自己拿gopro拍怎麼都不一樣!!前期與後期，在我認為是同等的重要，如此才是完整的攝影過程。海水正藍的後期編修班，擁有一個永久學習群組，不怕你發問，只怕你學不會喔。
酷達潛水中心 Kuta Dive,介紹：\n對於潛水人來說，氣泡也代表著「生存」與「尊重海洋」——因為氣泡是透過水肺潛水裝備在海裡呼吸時所產生的，而沒有這些裝備，人類也無法如此長時間、近距離地貼近海洋生物，與其和平共處。\n我們堅信，只要多訓練出一名潛水員，就是多一名尊重生命、愛護海洋的生力軍。
有潛生活 潛水訓練中心,介紹：\n潛水中心定名為“有潛生活”，是希望提供每一位來店的潛伴、學員有一個安心、放心的潛水之旅以及享受優質的潛水生活。 “有潛生活”的經營團隊，有十幾年的潛水教學與經營經驗；我們亦提供住宿與泳池。無論是潛水課程訓練、潛水旅遊活動，均有相當扎實而豐富的經歷，是您在潛水考照、潛水旅遊活動安排的最佳選擇。在『我的生活，有潛生活』的細細品嚐當下，用海洋刻劃出自己的足跡、生活。
墾丁海世界潛水 OceanWorld Diving Center,介紹：\n當你穿上潛水裝備，浸泡在藍色水域中，你會發現一個嶄新的世界，我們總是渴望探索新的潛點，並與客人分享這些美妙的經驗。能夠帶領您深入水下，發現壯麗的珊瑚礁、熱帶魚和其他奇妙的生物。\n我們的導遊將提供專業知識和建議，並確保您的潛水之旅是安全、令人興奮和難忘的。無論您是一個初學者還是有豐富潛水經驗的人，我們都歡迎您加入我們的旅程，一起探索水下世界的美妙。趕快加入我們，開啟屬於你的潛水之旅！
墾丁環礁潛水中心,介紹：\n你已經準備進入潛水員生涯的第一步！開始探索這個充滿魔力，既神秘又迷人的海底世界，這世界幾世紀甚至上千年來沒有被觸碰過，沒有被改變過。你現在掌握的知識和技巧將陪著你躍入你的第一次「極致的潛水體驗」，未來的次數一定會越來越多。
Okeano Free Dive漁生自由潛水教室3.0,介紹：\n嗨嗨，大家好。我們是漁生工作室！\n相信大家已經認識我們很久了經過了不斷的學習以及調整我們擁有了全新的陣容謝謝看著我們成長的大家以及始終陪伴著我們的小魚兒2023年夏季 我們變得很不一樣用不同的方式認識潛水及海洋。
簡單潛水,介紹：\n我們來自恆春，國境之南的潛水店。\n服務的項目有：體驗潛水、潛水考照、旅遊潛水任何跟潛水有興趣的夥伴，可以跟我們詢問，並且一起加入我們。
潛藍Liyal,服務的項目有：體驗潛水、潛水考照、旅遊潛水任何跟潛水有興趣的夥伴，可以跟我們詢問，並且一起加入我們。
嶼海tu?-h?i,介紹：\ntuà-hái ▸住海。傳達真正民宿概念，與你分享海洋日常。透過海而認識彼此，嶼海期待與您相遇。我們有提供潛水活動、證照課程、體驗潛水、導覽潛水、民宿空間。
Divingmind潛意識恆春分部,介紹：\n潛意識，心靈深處被壓抑無從意識到的慾望。\n自由潛水，一口氣的片刻滿足心靈。
悠樂趣潛水俱樂部,介紹：\n你覺得海裡的生物會覺得他們是在游嗎？還是在海洋裡飛翔呢？陸地上的沈重、生活的壓力，在水面之下將釋放一切學習潛水的你，像魚一樣擺脫重力在海裡飛翔。
奇怪教練自由潛水教室 Weirdo Freediving,介紹：\n想要一窺自由潛水的奧妙嗎？\n關於自由潛水的疑難雜症都可以在奇怪教練找到解答！\n● Molchanovs W1-W4選手課程\n● AIDA A1–A4\n● Molchanovs/AIDA教練班&跨系統課程\n● 戒護人員訓練課程
SEACHANGER正式自由,介紹：\nSeachanger 因為大海改變生活型態的人。\n自潛教練，大頭正 ooqx.xpoo。\nAIDA Freediving Course 自由潛水課程，我們有（課程、住宿、導潛、水攝、訓練）歡迎私訊小盒子。
墾丁．就是要潛水,介紹：\n夢想在大海與魚一起遨游，想親眼看到大海的美。\n現在就讓阿峯教練帶你一起實現夢想。不會游泳沒有證照也可以參加有趣的→潛水體驗或PADI國際潛水證照考取。
醉初自由潛水,介紹：\n一個人嗎 ？不知道怎麼玩。\n那麼我們帶你們玩!!!!\nIndulge in the sea and back to initial.\n自由潛水課程 AIDA1~AIDA3\n提供自潛體驗、導潛、訓練、住宿、衝浪、sup立槳。
潛水部落 D Dive Center,介紹：\n我們提供潛水旅遊、Padi潛水、體驗潛水。
暖洋潛水旅宿 Wonder Ocean Dive Hostel,介紹：\n一起玩耍潛水旅行大啖美食 Hengchun Life Style。\n我們提供了專業的體驗潛水、潛水考照等服務。
「墾丁美人魚學校」GirlDive-Mermaid,介紹：\n實現兒時夢想，只要擁有女孩人魚夢，也能體驗當美人魚的優雅。\n不會游泳也學得會，專業教練教會妳游美人魚，與熱帶魚一同悠遊。\n水下的世界，讓全世界的女孩著迷，體驗不同的墾丁海洋玩法。
海島瘋３號店－薄荷小日子旅宿Days In Bohol,"介紹：\n薄荷小日子是一間潛水旅宿, 我們主要提供潛友們住宿及潛水旅遊的相關安排, 不論是教練帶團, 個人或三五好友來這邊, 不論你要考證還是放呆, 船潛或是岸潛, 我們都樂意為您安排;我們的裝備及硬體設施完善,有吊掛及沖洗裝備的區域; 薄荷小日子位置在恆南路及恆西路中間之恆公路上,距恆春老街僅有3分鐘的步行距離,前往後壁湖潛水交通僅需15分鐘,不論是逛街或潛水都非常方便;我們也提供陸遊行程安排及車輛安排,讓您能夠有效的利用休假時間好好逛逛美麗的恆春半島！"
鯊墾丁潛水旅店 Sharkenting Dive Center,介紹：\n我們有水肺潛水、體驗潛水、考照課程、持照潛水、民宿、背包房。
魚人族自由潛水Fishman,介紹：\n我們有專業的課程、攝影、人魚、住宿。
墾丁Go Diving 趣潛水恒春背包客棧,"介紹：\n墾丁,這美麗的國境之南,不論是陸地還是海底都擁有許多豐富的生態資源,正等著你（妳）、我一起加入這美麗的探索行列。\n入住Go Diving趣潛水(背包客棧),可以體驗潛水(你身邊的私屬潛水管家)、私人密境陸遊(私人管家陸遊包車)以及住宿(背包客棧)。\n你也可以參加我們AIDA自由潛水訓練和體驗潛水和PADI潛水訓練課程教學。"
貓魚小窩,介紹：\n提供貓魚小姐的海洋生活、自由潛水、Freediving。\n岸上像隻貓，水底像條魚，這就是我們的生活。
半島海人,介紹：\n半島海人，緣起於對海洋的熱愛與執著，試圖在這片大海、山脈與生活之間找到平衡，我們潛水，我們衝浪，我們健行，我們熱愛分享恆春半島最不為人知的美麗風貌，就因為這些簡單的理念，居住在半島的海人們湊合在一起，在這塊位於台灣最南端的燕尾海角，一個山海人魚共存的理想世界。
帶福新樂園潛水中心,介紹：\n帶福新樂園潛水訓練中心PADI 5星教練發展中心，於2007年成立，提供墾丁潛水介紹、潛水課程、潛水裝備。希望提供學生一個有趣、好玩、安全的潛水環境，一同窺探神祕的70%海洋，盡情享受海底世界的美妙！
綠豆人國際潛水中心,介紹：\n本中心皆採教學小班制，PADI專業潛水中心。\n我們有水肺潛水考證、自由潛水考證、潛水旅遊、體驗潛水、潛水裝備銷售、SUP體驗。
OneDay Freediving 找一天自由潛水工作室,介紹：\nONEDAY教練具備豐富教學經驗，課程教材融合AIDA和Molchanovs兩大自由潛水系統教學，並採師生比1：3精緻比例，能夠細心照顧到每一位學生，學習步調舒適又精實！三天課程請準備充足的體力和精神，來體驗和陸地上截然不同的活動方式和挑戰！
深藍實驗室 Dark Blue Lab,介紹：\n我們有提供體驗潛水、初至高階潛水課程、導潛服務、客製潛水訓練通通都有!\n還有不定期超好玩水下技能課，想知道是甚麼嗎?不告訴你~來了就知道了!
水采田潛水酒吧民宿,介紹：\n我們有提供所有潛水氣瓶、導潛、配重、全套輕重裝(包含電腦錶使用及教學) 、潛水全程接送。
BENEATH Dive Club 水下俱樂部,介紹：\n我們除了提供PADI專業潛水證照課程、導覽等服務，也提供海洋保育課程，讓學員在潛水活動之外，更能了解水下生態系的現況與挑戰。透過設計海洋保育專案，讓具資格的潛水員能夠參與及協助海洋研究計畫進行。不定期舉行講座及淨灘活動，號召更多元的社群一同維護海洋環境。
墾丁自由潛水 Freedive Kenting,介紹：\n我們提供了相關證照：自由潛水教練、美國瑜珈聯盟、美國國家運動醫學學院、初級技術救。
恆春海豚潛水,介紹：\n專業濳水教育訓練中心、水下作業訓練考核、裝備氣瓶租賃、海上遊憩活動。
海洋白日夢自由潛水,介紹：\n除了有關自潛的技巧、知識和觀念更重要的是對生物、生態、環境的尊重和互動或許也是落落長的一篇先身體力行下次水下聊吧。
海私塾潛水中心,介紹：\n【海私塾潛水】專業教練嚴守以《安全第一》及《保護海洋環境〉的觀念，透過正確的潛水課程，ㄧ步一步以正確準則專業教學培訓，建立學員正確潛水觀念，嚴格遵守風險管理，避免隱藏其中的危險發生。\n隨著海洋休閒產業蓬勃發展，【海私塾潛水】對於推動海洋保育的知識一點也不敢掉以輕心，把保育海洋課程真正落實在潛水課程中，在最後一堂課都要學員們帶網子在潛水海域撿拾垃圾，以日常保護海洋的行動力，讓大家成為愛海守護海洋的好公民。
Hi Manta 自由潛水,介紹：\n提供專業的導潛、訓練潛、裝備租借、法蘭佐成長班。
騏艦藍海灣&潛水度假村, 介紹：\n「騏艦藍海灣」提供觀光導覽、專業浮潛、各項專業潛水服務、潛水教學、船潛、遊艇包船、海上活動等服務。我們擁有兩艘設備最專業、環境最舒適、服務最貼心的頂級潛水船，讓 您隨時都能享受安全自在的潛水體驗。完善的潛水教學環境與全船潛教學的各項潛水課程，讓您可以自在翱翔在蔚藍繽紛的海底世界！
penny愛潛水,介紹：\n我們提供潛水員乾靜舒適的歇息空間，一個站在院子就能眺望大海的老建築附設簡易平台。在涼爽的夜晚品茶聊天，潛店距離海岸邊50公尺美麗的小漁村。除了休閒潛水還有技術相關課程，選擇各階段潛水員證照與教練培訓官考試全方位，提供最完整的海底知識與技能。
水到魚行浮潛館,介紹：\n陽光.沙灘.夕陽.豐富的潮間帶景色。當然要有位正港a在地郎，帶領你一同探索!!!!!我們有最pro的私人教練引導你如何認識這塊海域，帶你一同探討其中的樂趣。\n每位教練都具有海域救生員證，一律為遊客投保旅遊平安意外險。在PRO在地人教練的引領下保證讓你玩的放心又開心，引導你如何去認識萬里桐這塊美麗珊瑚海底世界。
萬里桐浮潛中心,介紹：\n「萬里桐浮潛中心」位於海灣正上方，處於恆春萬里桐最佳景點，從下水堀至萬里桐沿途海水蔚藍清澈，海底景觀美麗、生態豐富，已劃為海域生態保護區。全區遍布生長良好的各類石軟珊瑚、成叢的海扇、海柳及群游的珊瑚礁魚類等，此外各種貝類及海百合、海藤等分佈亦多。等你一起來倘佯藍天大海，醞釀一段碧海藍天的回憶~
山海潛水,介紹：\n我們都是潛水員！
海潮潛水 Tide Dive,介紹：\n對於與海的熱情，大海就像母親般的孕育各種不同的生命。海潮，就向大海般的包容各種不同的生命。楊世興教練創立海潮潛水，教學經驗已逾30年以上，始於早期台灣潛水的開始致力於潛水產業。對於海的熱情及潛水技術有著專業的執著。\n我們就位於恆春的一個小村莊裡，愜意又融入當地生活，讓潛水的方式輕鬆又自在，就如回到鄉下般的放鬆。墾丁海潮潛水中心提供專業潛水課程、體驗潛水、潛水裝備租借、背包客棧、寵物友善的住宿。鄰近後壁湖漁港、貓鼻頭公園、萬里桐、屏東海生館與許多墾丁著名潛點，是親海的最佳選擇！
深度潛水Deep Dive Center?,介紹：\n我們的品牌理念：Sea for yourself「看見海洋，遇見自己」謙卑學習，認識海洋的過程也更認識自己透過課程鏈接人與海洋從海洋拿取，也回饋給海洋把海洋帶入生活成為海洋環境的永續守護者。
二級頭潛水站,介紹：\n由於相信潛水員想要一個簡單直觀的用戶界面，以前在潛水電腦和循環呼吸器控制系統中無法使用，因此最早的重點是設計對用戶有意義的菜單結構。\n作為一名經驗豐富的循環呼吸器和開路技術潛水員，布魯斯清楚地了解需要為潛水員提供合理的選擇，在壓力較大的水下情況下，需要盡可能少地按下按鈕。Shearwater Research 迅速成為循環呼吸器 Trimix 計算機和電子控制系統的主要供應商。在技​​術潛水界獲得廣泛認可後，Shearwater 在休閒潛水員中也廣受歡迎。其直觀的界面得到進一步擴展和簡化，重點關注休閒潛水員。\nShearwater 現在在公司中處於領先地位，並因市場上一些最高質量的儀器而享有盛譽。他們的計算機對於所有發展水平的潛水員來說都非常易於使用，並以可靠、用戶友好且易於在水下閱讀而聞名。海鷗計算機旨在改善世界各地潛水員的旅程。
Hi D-Diving海底潛水,介紹：\n【傳承】將美好的地球留給下一代。潛水，可以身歷其境知道海洋有多美，而潛水的一萬種好處有潛過的人都知道。終於，孩子們長大了，是時候把這樣的美好傳承下去。謝謝這些熱愛潛水的家長們對［Hi D-Diving海底潛水］的信任，那麼放心的把小孩教給我們！未來，海洋要交給下一代繼續愛它守護它。
羅浮國際潛水中心DIWA教練課程發展中心,介紹：\n各級潛水訓練課程.教練發展課程，潛水器材出租，出售、潛水旅遊。
PsychoDive自由潛水店,介紹：\nPsycho Dive 創辦人們皆為在都市生活的工作者，因緣際會下接觸自由潛水，從此沈醉於往返都市與大海的生活。因次，我們以「cycle 循環」為發想，延伸發音「Psycho 瘋子」作為信念。意指一群潛水潛到瘋狂的人，反覆這都市與大海的生活，走出了內心的平衡。
必見水潛水 Pink House Diving,介紹：\n “Keep Calm and Carry On” 這句經典隨處可見。可參透它真正的含義，還是在大家經過一系列潛水訓練成為認證的 PADI 潛水員之後。對於潛水員而言，讓自己在水下可以更長時間潛遊的要訣就是 [慢慢呼吸，謹慎前行]。腳踏實地的感覺雖好，可試問誰不曾幻想過不受重力束縛自由飛翔的時刻?
心海潛水中心 & SUP,介紹：\n台灣墾丁是一個神奇的地方，住在這裡的人都說這塊土地很黏，人來到這裡就不想離開。除了大家熟悉的陸上行程，墾丁的海洋更是一大特色，來心海潛水中心&SUP，教練們帶您暢遊海底，體驗潛水帶來的樂趣！認識來台灣潛水的多重面貌！心海因熱愛大自然與水上活動，使我們更加暸解海洋生態的重要，活動將以環保、永續的方式進行，歡迎老、中、少各年齡層加入探索、發現、呵護海洋，與海共生行列。
TIAMAT? Diving Club × 苦水輕旅,"介紹：\nTIAMAT®  是古代蘇美爾神話裡的女神，是孕育出所有神明的母神，也是原初混沌時期中的創造象徵。「TIAMAT」在阿卡德語中有「苦水（咸水）」之意,我們位於台灣最南端，坐擁三面完全不同的海洋體系的潛水輕旅,而海平面下潛藏了繽紛炫目的珊瑚礁生態，因物種多樣性，,吸引著各地熱愛海洋的海人們齊聚,分享著自己對海洋的熱情,並將愛護海洋的信念傳遞給所有人。"
放呆潛水俱樂部Fun Dive Club,介紹：\n因為放呆潛水擁有專業且具有豐富教學經驗的教練、乾淨且清幽的住宿環境、保養良好的裝備，以及世界第一品牌Bauer空壓機所打氣的氣瓶，濾芯更是不惜成本地定期換新，為南台灣數一數二空氣品質，讓潛水員能夠吸到乾淨又新鮮的空氣。來放呆潛水有保障，潛水不擔心，我們貼心為您著想，特別投保富邦公共意外責任險潛水潛的安心玩得開心，無須擔憂無壓力，這就是選擇放呆的原因，處處為您著想時時關心您的潛水生活。
PureBlueDive,介紹：\n歡迎所有喜歡潛水及對潛水有興趣的朋友，讓我們一起探索。
La Sea Dive - 樂灣潛水,介紹：\n我們有體驗潛水、Fun Dive導潛、水肺潛水課程、潛技複習，歡迎訊息或電話預約。
阿yao潛水趣,介紹：\n提供潛水考照、體驗潛水、專業導潛、sup、背包房、遊艇包船。
